date,topic,notes
2016-04-27,Git & GitHub,https://journocodersmadrid.hackpad.com/Journocoders-Madrid-abril-2016-iRIJPhWGum2
2016-02-17,Automatizar datos con Talend,https://journocodersmadrid.hackpad.com/Journocoders-Madrid-febrero-2016-idcaBqPcJbU
2016-01-19,APIs con BBC Juicer,https://journocodersmadrid.hackpad.com/Journocoders-Madrid-enero-2016-1qbG4J8MtL9
2015-11-13,Introducción a D3.js,https://journocodersmadrid.hackpad.com/JournocodersMad-noviembre-2015-Q9TmZSpvzlN
